,0
2020-05-28,33427.82982606425
2020-05-29,33866.261902143044
2020-06-01,33784.88796110703
2020-06-02,34031.36077832231
2020-06-03,34148.630619845986
2020-06-04,33885.05514137228
2020-06-05,34588.57978764189
2020-06-08,34815.3485270002
2020-06-09,34833.47699200772
2020-06-10,35148.66237189717
2020-06-11,33244.75033358197
2020-06-12,33548.23240459457
2020-06-15,33817.49026901636
2020-06-16,34529.132164825365
2020-06-17,34551.89122425433
2020-06-18,34595.686675570934
2020-06-19,34625.20254091871
2020-06-22,34936.784720001335
2020-06-23,35170.0821282732
2020-06-24,34357.95044197223
2020-06-25,34726.152041122834
2020-06-26,34084.101153490454
